index,question,input,answer,qa_id
0,What is The name of the contract?,"Highlight the parts (if any) of this contract related to ""Document Name"" that should be reviewed by a lawyer. Details: The name of the contract",FRANCHISE AGREEMENT,MRSFIELDSORIGINALCOOKIESINC_01_29_1998-EX-10-FRANCHISE AGREEMENT__Document Name
1,What is The two or more parties who signed the contract?,"Highlight the parts (if any) of this contract related to ""Parties"" that should be reviewed by a lawyer. Details: The two or more parties who signed the contract","Franchisee, Pretzel Time, FRANCHISOR, doing business  as  Pretzel  Time, Pretzel Time, Inc.",MRSFIELDSORIGINALCOOKIESINC_01_29_1998-EX-10-FRANCHISE AGREEMENT__Parties
2,What is The date of the contract?,"Highlight the parts (if any) of this contract related to ""Agreement Date"" that should be reviewed by a lawyer. Details: The date of the contract","this day of , 19",MRSFIELDSORIGINALCOOKIESINC_01_29_1998-EX-10-FRANCHISE AGREEMENT__Agreement Date
3,What is The date when the contract is effective?,"Highlight the parts (if any) of this contract related to ""Effective Date"" that should be reviewed by a lawyer. Details: The date when the contract is effective ","this day of , 19",MRSFIELDSORIGINALCOOKIESINC_01_29_1998-EX-10-FRANCHISE AGREEMENT__Effective Date
4,On what date will the contract's initial term expire?,"Highlight the parts (if any) of this contract related to ""Expiration Date"" that should be reviewed by a lawyer. Details: On what date will the contract's initial term expire?",The term of this Agreement shall commence on the Effective Date of this Agreement  and shall expire  twenty (20) years from the  effective  date of this Agreement.,MRSFIELDSORIGINALCOOKIESINC_01_29_1998-EX-10-FRANCHISE AGREEMENT__Expiration Date
5,What is the renewal term after the initial term expires? This includes automatic extensions and unilateral extensions with prior notice.,"Highlight the parts (if any) of this contract related to ""Renewal Term"" that should be reviewed by a lawyer. Details: What is the renewal term after the initial term expires? This includes automatic extensions and unilateral extensions with prior notice.","Upon the expiration of the initial term of this  Agreement,  Franchisee shall  have the one time  right to obtain a  successor  franchise  to  operate a Pretzel  Time Unit at the Site (a  ""Successor  Franchise"")  for a single term of five (5) years  immediately  following the expiration of the initial term of the Franchise upon giving Pretzel Time six (6) months notice prior to the expiration of the then current term",MRSFIELDSORIGINALCOOKIESINC_01_29_1998-EX-10-FRANCHISE AGREEMENT__Renewal Term
6,What is the notice period required to terminate renewal?,"Highlight the parts (if any) of this contract related to ""Notice Period To Terminate Renewal"" that should be reviewed by a lawyer. Details: What is the notice period required to terminate renewal?",Pretzel Time shall notify Franchisee  of the  nonrenewal  not  less  than  six  (6)  months  prior  to the expiration  of the term of this  Agreement.,MRSFIELDSORIGINALCOOKIESINC_01_29_1998-EX-10-FRANCHISE AGREEMENT__Notice Period To Terminate Renewal
7,Which state/country's law governs the interpretation of the contract?,"Highlight the parts (if any) of this contract related to ""Governing Law"" that should be reviewed by a lawyer. Details: Which state/country's law governs the interpretation of the contract?","Except to the extent governed by the U.S. Trademark Act of 1946 (Lanham Act, 15 U.S.C.  ""1051 et seq.),  this Agreement,  the other agreements  referred herein,  and the offer and the sale of the  franchise  shall be  governed in all respects  and  aspects  by the  laws of the  Commonwealth  of  Pennsylvania  and expressly  excluding  the laws  pertaining  to the choice of law and conflict of laws.",MRSFIELDSORIGINALCOOKIESINC_01_29_1998-EX-10-FRANCHISE AGREEMENT__Governing Law
9,Is there a restriction on the ability of a party to compete with the counterparty or operate in a certain geography or business or technology sector?,"Highlight the parts (if any) of this contract related to ""Non-Compete"" that should be reviewed by a lawyer. Details: Is there a restriction on the ability of a party to compete with the counterparty or operate in a certain geography or business or technology sector? ","Neither  Franchisee  nor any of its Owners shall divert or attempt to divert any business or any customers of any Pretzel Time Unit to any  Competitive  Business or employ or seek to employ any  person who is  employed  by Pretzel  Time,  its Affiliates  or a franchisee  of Pretzel Time nor induce or attempt to induce any such person to leave said  employment  without the prior written consent of such person's employer., Franchisee  therefore agrees that  during the term of the  Franchise  Agreement,  or the period of time which Franchisee operates a Unit under this Agreement,  whichever is shorter,  neither Franchisee  nor  any  Affiliate,  immediate  family  member,  or  in  the  event Franchisee is a corporation

any Owner thereof and member of his immediate  family or in the event  Franchise is a partnership any partner  (general or limited) thereof and any member of his immediate family, shall:

         (1) Have  any  direct  or  indirect  interest  as an  owner,  investor,          partner, director, officer, employee, consultant, representative, agent          or in  any  other  capacity  in any  Competitive  Business  located  or          operating  at the Site or within  three (3) miles of any  Pretzel  Time          Unit  in  operation  or  under  development  on the  effective  date of          termination or expiration of this Agreement, except a Pretzel Time Unit          operated by Franchisee under Franchise Agreements with Pretzel Time; or

         (2) Recruit or hire any employee who, within the immediately  preceding          six (6) month period,  was employed by Pretzel Time or any Pretzel Time          Unit operated by Pretzel Time, its Affiliates or another  franchisee or          licensee  of  Pretzel  Time,   without   obtaining  the  prior  written          permission of Pretzel Time or such franchisee., If Pretzel Time exercises its right of first refusal,  Franchisee  (and its Owners)  agrees that,  for a period of twelve (12) months  commencing on the date of the closing,  neither  Franchisee (nor its Owners) shall have any direct or indirect interest  (through a member of the immediate  families of Franchisee or its Owners of  otherwise)  as a  disclosed  or  beneficial  owner,  investor, partner, director, officer, employee, consultant, representative, or agent or in any other capacity in any Competitive Business located or operating within three (3) miles of the Unit,  and/or  three (3) miles of any other  Pretzel Time Unit., Franchisee (and its Owners) have executed a noncompetition covenant          in favor of Pretzel Time and the transferee agreeing that, for a period          of twelve (12) months commencing on the effective date of the Transfer,          Franchisee,  its  Owners  and  members  of the  immediate  families  of          Franchisee  and each of its Owners will not hold any direct or indirect          interest  as  a  disclosed  or  beneficial  owner,  investor,  partner,          director,  officer manager,  employee,  consultant,  representative  or          agent, or in any other capacity,  in a Competitive  Business located or          operating  within  three (3) miles of the Unit,  and  within  three (3)          miles of any other Pretzel Time Unit;, Franchisee  also  acknowledges  that Pretzel Time has granted the Franchise to  Franchisee  in  consideration  of and reliance  upon  Franchisee's agreement to deal  exclusively  with Pretzel Time.  Franchisee  therefore agrees that  during the term of the  Franchise  Agreement,  or the period of time which Franchisee operates a Unit under this Agreement,  whichever is shorter,  neither Franchisee  nor  any  Affiliate,  immediate  family  member,  or  in  the  event Franchisee is a corporation

any Owner thereof and member of his immediate  family or in the event  Franchise is a partnership any partner  (general or limited) thereof and any member of his immediate family, shall:

         (1) Have  any  direct  or  indirect  interest  as an  owner,  investor,          partner, director, officer, employee, consultant, representative, agent          or in  any  other  capacity  in any  Competitive  Business  located  or          operating  at the Site or within  three (3) miles of any  Pretzel  Time          Unit  in  operation  or  under  development  on the  effective  date of          termination or expiration of this Agreement, except a Pretzel Time Unit          operated by Franchisee under Franchise Agreements with Pretzel Time; or

         (2) Recruit or hire any employee who, within the immediately  preceding          six (6) month period,  was employed by Pretzel Time or any Pretzel Time          Unit operated by Pretzel Time, its Affiliates or another  franchisee or          licensee  of  Pretzel  Time,   without   obtaining  the  prior  written          permission of Pretzel Time or such franchisee., The Franchise  Agreement contains a covenant not to compete which extends beyond





the termination of the franchise., Upon  termination of this  Agreement,  in accordance with its terms and conditions or by Franchisee  without cause, or upon expiration of this Agreement (unless the Franchise is renewed as provided for in this Agreement),  Franchisee and its Owners agree that for a period of TWELVE (12) months  commencing  on the effective  date of  termination  or expiration  or the date on which  Franchisee complies  with this Section,  whichever is later,  neither  Franchisee,  nor its Owners,  nor any person or entity  affiliated  with  Franchisee or  Franchisee's shareholders or partners shall have any direct or indirect  interest  (through a member of the immediate  families of Franchisee or its Owners or otherwise) as a disclosed or beneficial owner, investor,  partner, director,  officer, employee, consultant,  representative,  agent or in any other capacity in any  Competitive Business  located or operating:  (1) at the Site;  (2) within three (3) miles of the Unit;  and/or (3) within  three (3) miles of any other  Pretzel Time Unit in operation  or  under  development  on  the  effective  date  of  termination  or expiration of this  agreement for a period of one year after the  termination or expiration., Pretzel  Time  will not,  as long as this  Agreement  is in effect  and Franchisee  is not in default,  enfranchise  or operate any other  Pretzel  Time Franchise  within the following  enclosed  mall or building  except as otherwise provided herein (hereinafter  referred to as ""Territory""):  none., Except as  otherwise  provided  in this  Agreement  and  provided  that Franchise  is in full  compliance  with  this  Agreement,  Pretzel  Time and its Affiliates  will  not  during  the  term  of this  Agreement  operate  or  grant franchises  for the operation of Pretzel Time Units within the  Territory  other than the Franchise granted to Franchisee pursuant to this Agreement., Franchisee agrees that he will at all times faithfully,  honestly,  and diligently  perform his obligations  hereunder,  that he will continuously exert his best efforts and shall  continually  train and  supervise  his  personnel to Pretzel Time's  reasonable  standards,  in  furtherance  of the mutual  business interests of both Pretzel Time and Franchisee and that he will not engage in any other business or activity that may conflict with his obligations  hereunder.",MRSFIELDSORIGINALCOOKIESINC_01_29_1998-EX-10-FRANCHISE AGREEMENT__Non-Compete
10,"Is there an exclusive dealing  commitment with the counterparty? This includes a commitment to procure all “requirements” from one party of certain technology, goods, or services or a prohibition on licensing or selling technology, goods or services to third parties, or a prohibition on  collaborating or working with other parties), whether during the contract or  after the contract ends (or both).","Highlight the parts (if any) of this contract related to ""Exclusivity"" that should be reviewed by a lawyer. Details: Is there an exclusive dealing  commitment with the counterparty? This includes a commitment to procure all “requirements” from one party of certain technology, goods, or services or a prohibition on licensing or selling technology, goods or services to third parties, or a prohibition on  collaborating or working with other parties), whether during the contract or  after the contract ends (or both).","Except as  otherwise  provided  in this  Agreement  and  provided  that Franchise  is in full  compliance  with  this  Agreement,  Pretzel  Time and its Affiliates  will  not  during  the  term  of this  Agreement  operate  or  grant franchises  for the operation of Pretzel Time Units within the  Territory  other than the Franchise granted to Franchisee pursuant to this Agreement., Franchisee  also  acknowledges  that Pretzel Time has granted the Franchise to  Franchisee  in  consideration  of and reliance  upon  Franchisee's agreement to deal  exclusively  with Pretzel Time.",MRSFIELDSORIGINALCOOKIESINC_01_29_1998-EX-10-FRANCHISE AGREEMENT__Exclusivity
